default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex
0,no checking account,24,existing credits paid back duly till now,domestic appliances,171500,25000 <= ... < 50000 INR ,.. >= 7 years,3,male : single
0,no checking account,9,critical account/ other credits existing (not at this bank),car (new),106700,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,< 0 INR,6,existing credits paid back duly till now,domestic appliances,132350,25000 <= ... < 50000 INR ,1 <= ... < 4 years,2,male : single
0,< 0 INR,10,critical account/ other credits existing (not at this bank),car (new),112050,... < 5000 INR,... < 1 year ,1,male : single
0,0 <= ... < 10000 INR,12,critical account/ other credits existing (not at this bank),car (used),90200,5000 <= ... < 25000 INR,... < 1 year ,3,male : single
0,no checking account,10,critical account/ other credits existing (not at this bank),radio/television,103450,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed
0,< 0 INR,6,existing credits paid back duly till now,radio/television,68700,... < 5000 INR,1 <= ... < 4 years,1,male : single
0,no checking account,6,no credits taken/ all credits paid back duly,domestic appliances,21300,... < 5000 INR,.. >= 7 years,4,male : married/widowed
0,>= 10000 INR / salary assignments for at least 1 year,12,all credits at this bank paid back duly,domestic appliances,20450,.. >= 50000 INR ,1 <= ... < 4 years,3,female : divorced/separated/married
0,0 <= ... < 10000 INR,7,existing credits paid back duly till now,domestic appliances,120750,... < 5000 INR,1 <= ... < 4 years,3,male : single
1,< 0 INR,60,delay in paying off in the past,business,341800,... < 5000 INR,.. >= 7 years,3,male : single
0,0 <= ... < 10000 INR,18,existing credits paid back duly till now,business,95650,.. >= 50000 INR ,... < 1 year ,3,male : married/widowed
0,< 0 INR,24,existing credits paid back duly till now,radio/television,201000,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,0 <= ... < 10000 INR,18,existing credits paid back duly till now,car (new),293300,5000 <= ... < 25000 INR,1 <= ... < 4 years,2,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),business,63200,unknown/ no savings account,.. >= 7 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,73700,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
1,0 <= ... < 10000 INR,45,critical account/ other credits existing (not at this bank),domestic appliances,237300,... < 5000 INR,... < 1 year ,4,male : single
0,no checking account,48,critical account/ other credits existing (not at this bank),(vacation - does not exist?),305500,... < 5000 INR,1 <= ... < 4 years,1,male : single
1,>= 10000 INR / salary assignments for at least 1 year,18,existing credits paid back duly till now,domestic appliances,105000,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,10,existing credits paid back duly till now,repairs,61250,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,0 <= ... < 10000 INR,9,existing credits paid back duly till now,domestic appliances,22900,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,30,existing credits paid back duly till now,domestic appliances,116650,25000 <= ... < 50000 INR ,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,domestic appliances,57900,25000 <= ... < 50000 INR ,1 <= ... < 4 years,3,male : divorced/separated
0,0 <= ... < 10000 INR,18,delay in paying off in the past,education,310200,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,< 0 INR,30,critical account/ other credits existing (not at this bank),car (used),309350,5000 <= ... < 25000 INR,4 <= ... < 7 years,1,male : married/widowed
1,< 0 INR,48,critical account/ other credits existing (not at this bank),car (used),307150,... < 5000 INR,.. >= 7 years,4,female : divorced/separated/married
0,no checking account,11,critical account/ other credits existing (not at this bank),car (new),69650,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,no checking account,36,existing credits paid back duly till now,domestic appliances,114950,25000 <= ... < 50000 INR ,.. >= 7 years,4,male : single
0,< 0 INR,6,existing credits paid back duly till now,car (used),67600,25000 <= ... < 50000 INR ,unemployed,1,female : divorced/separated/married
0,no checking account,11,critical account/ other credits existing (not at this bank),car (new),361400,... < 5000 INR,1 <= ... < 4 years,1,male : single
0,no checking account,12,existing credits paid back duly till now,domestic appliances,103650,5000 <= ... < 25000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,24,delay in paying off in the past,radio/television,116650,unknown/ no savings account,... < 1 year ,4,male : single
0,0 <= ... < 10000 INR,27,delay in paying off in the past,car (used),298250,... < 5000 INR,.. >= 7 years,1,male : single
0,no checking account,12,existing credits paid back duly till now,domestic appliances,63100,... < 5000 INR,1 <= ... < 4 years,3,male : single
0,no checking account,18,existing credits paid back duly till now,car (used),168900,unknown/ no savings account,1 <= ... < 4 years,2,male : single
1,0 <= ... < 10000 INR,36,delay in paying off in the past,car (new),111250,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,6,all credits at this bank paid back duly,car (new),39150,unknown/ no savings account,1 <= ... < 4 years,1,male : single
1,0 <= ... < 10000 INR,12,existing credits paid back duly till now,domestic appliances,323400,unknown/ no savings account,unemployed,2,male : single
0,no checking account,36,critical account/ other credits existing (not at this bank),domestic appliances,478300,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,>= 10000 INR / salary assignments for at least 1 year,18,existing credits paid back duly till now,car (new),98050,... < 5000 INR,.. >= 7 years,3,female : divorced/separated/married
1,< 0 INR,36,critical account/ other credits existing (not at this bank),radio/television,311450,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,9,existing credits paid back duly till now,business,69550,... < 5000 INR,1 <= ... < 4 years,2,male : married/widowed
0,0 <= ... < 10000 INR,15,critical account/ other credits existing (not at this bank),domestic appliances,76850,unknown/ no savings account,.. >= 7 years,4,male : single
1,0 <= ... < 10000 INR,36,no credits taken/ all credits paid back duly,business,97650,... < 5000 INR,.. >= 7 years,4,male : single
1,0 <= ... < 10000 INR,48,no credits taken/ all credits paid back duly,business,721050,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,no checking account,24,existing credits paid back duly till now,domestic appliances,159050,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,no checking account,27,existing credits paid back duly till now,education,259500,unknown/ no savings account,.. >= 7 years,4,male : single
0,no checking account,12,existing credits paid back duly till now,domestic appliances,108550,... < 5000 INR,... < 1 year ,2,female : divorced/separated/married
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,car (new),50350,.. >= 50000 INR ,1 <= ... < 4 years,4,male : married/widowed
1,no checking account,36,existing credits paid back duly till now,(vacation - does not exist?),90950,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,36,existing credits paid back duly till now,domestic appliances,119700,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,36,existing credits paid back duly till now,car (used),406650,... < 5000 INR,1 <= ... < 4 years,1,female : divorced/separated/married
0,no checking account,7,critical account/ other credits existing (not at this bank),domestic appliances,36500,unknown/ no savings account,.. >= 7 years,4,male : single
0,< 0 INR,8,critical account/ other credits existing (not at this bank),furniture/equipment,58200,... < 5000 INR,.. >= 7 years,3,male : single
0,0 <= ... < 10000 INR,42,critical account/ other credits existing (not at this bank),business,297700,... < 5000 INR,4 <= ... < 7 years,2,female : divorced/separated/married
1,< 0 INR,36,existing credits paid back duly till now,(vacation - does not exist?),98850,unknown/ no savings account,.. >= 7 years,4,male : single
0,< 0 INR,12,critical account/ other credits existing (not at this bank),car (used),76300,... < 5000 INR,.. >= 7 years,4,male : single
1,< 0 INR,42,existing credits paid back duly till now,domestic appliances,198250,... < 5000 INR,... < 1 year ,4,male : single
0,0 <= ... < 10000 INR,11,delay in paying off in the past,domestic appliances,238550,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,no checking account,54,no credits taken/ all credits paid back duly,car (used),471800,unknown/ no savings account,1 <= ... < 4 years,2,male : single
0,0 <= ... < 10000 INR,30,existing credits paid back duly till now,radio/television,191600,... < 5000 INR,... < 1 year ,2,male : married/widowed
1,no checking account,24,existing credits paid back duly till now,domestic appliances,297150,unknown/ no savings account,... < 1 year ,1,female : divorced/separated/married
0,no checking account,15,existing credits paid back duly till now,domestic appliances,60650,25000 <= ... < 50000 INR ,.. >= 7 years,4,male : single
0,no checking account,18,existing credits paid back duly till now,business,78400,5000 <= ... < 25000 INR,1 <= ... < 4 years,3,female : divorced/separated/married
0,< 0 INR,24,existing credits paid back duly till now,furniture/equipment,87750,... < 5000 INR,.. >= 7 years,4,female : divorced/separated/married
0,< 0 INR,10,existing credits paid back duly till now,domestic appliances,115750,... < 5000 INR,.. >= 7 years,3,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),business,70600,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,18,critical account/ other credits existing (not at this bank),radio/television,64750,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
1,0 <= ... < 10000 INR,36,existing credits paid back duly till now,(vacation - does not exist?),630600,5000 <= ... < 25000 INR,1 <= ... < 4 years,1,male : single
0,< 0 INR,18,existing credits paid back duly till now,car (new),112450,5000 <= ... < 25000 INR,4 <= ... < 7 years,4,male : single
1,< 0 INR,12,no credits taken/ all credits paid back duly,education,55400,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,30900,... < 5000 INR,.. >= 7 years,4,male : single
0,< 0 INR,12,critical account/ other credits existing (not at this bank),car (used),70450,... < 5000 INR,.. >= 7 years,4,male : single
1,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,39850,unknown/ no savings account,.. >= 7 years,4,female : divorced/separated/married
0,>= 10000 INR / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),radio/television,180850,unknown/ no savings account,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,car (new),65900,.. >= 50000 INR ,.. >= 7 years,4,male : single
1,0 <= ... < 10000 INR,54,no credits taken/ all credits paid back duly,business,797250,... < 5000 INR,... < 1 year ,3,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),(vacation - does not exist?),100600,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,18,existing credits paid back duly till now,business,131100,5000 <= ... < 25000 INR,1 <= ... < 4 years,4,male : single
0,0 <= ... < 10000 INR,36,critical account/ other credits existing (not at this bank),domestic appliances,116850,... < 5000 INR,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,20,delay in paying off in the past,car (used),352850,unknown/ no savings account,4 <= ... < 7 years,3,male : single
0,no checking account,24,existing credits paid back duly till now,car (new),73450,5000 <= ... < 25000 INR,.. >= 7 years,4,male : married/widowed
0,0 <= ... < 10000 INR,36,existing credits paid back duly till now,domestic appliances,116150,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,no checking account,6,delay in paying off in the past,domestic appliances,46600,... < 5000 INR,1 <= ... < 4 years,3,female : divorced/separated/married
0,0 <= ... < 10000 INR,9,critical account/ other credits existing (not at this bank),radio/television,95950,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,no checking account,12,existing credits paid back duly till now,car (used),122250,unknown/ no savings account,... < 1 year ,2,male : married/widowed
1,0 <= ... < 10000 INR,24,critical account/ other credits existing (not at this bank),furniture/equipment,596900,... < 5000 INR,1 <= ... < 4 years,2,male : single
1,no checking account,18,all credits at this bank paid back duly,car (new),322900,... < 5000 INR,.. >= 7 years,2,male : single
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,car (new),303900,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,< 0 INR,24,existing credits paid back duly till now,radio/television,386050,unknown/ no savings account,... < 1 year ,1,female : divorced/separated/married
0,0 <= ... < 10000 INR,14,existing credits paid back duly till now,business,70500,25000 <= ... < 50000 INR ,.. >= 7 years,1,male : married/widowed
0,0 <= ... < 10000 INR,6,delay in paying off in the past,business,72450,5000 <= ... < 25000 INR,.. >= 7 years,1,male : divorced/separated
0,>= 10000 INR / salary assignments for at least 1 year,15,existing credits paid back duly till now,(vacation - does not exist?),19600,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,18,existing credits paid back duly till now,car (new),313000,... < 5000 INR,4 <= ... < 7 years,3,male : single
1,no checking account,36,critical account/ other credits existing (not at this bank),car (new),392750,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,< 0 INR,12,existing credits paid back duly till now,domestic appliances,84000,25000 <= ... < 50000 INR ,.. >= 7 years,3,male : married/widowed
0,no checking account,48,critical account/ other credits existing (not at this bank),domestic appliances,178900,unknown/ no savings account,.. >= 7 years,4,male : single
1,< 0 INR,42,existing credits paid back duly till now,domestic appliances,358700,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married
0,< 0 INR,10,critical account/ other credits existing (not at this bank),radio/television,106600,unknown/ no savings account,... < 1 year ,2,female : divorced/separated/married
1,< 0 INR,33,critical account/ other credits existing (not at this bank),radio/television,214050,25000 <= ... < 50000 INR ,1 <= ... < 4 years,1,female : divorced/separated/married
0,0 <= ... < 10000 INR,12,critical account/ other credits existing (not at this bank),car (new),118300,25000 <= ... < 50000 INR ,4 <= ... < 7 years,3,male : divorced/separated
1,< 0 INR,21,existing credits paid back duly till now,domestic appliances,91750,... < 5000 INR,1 <= ... < 4 years,3,female : divorced/separated/married
0,no checking account,24,critical account/ other credits existing (not at this bank),car (used),193400,... < 5000 INR,.. >= 7 years,4,female : divorced/separated/married
0,no checking account,12,existing credits paid back duly till now,radio/television,88400,... < 5000 INR,1 <= ... < 4 years,3,male : single
0,>= 10000 INR / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),car (new),39050,... < 5000 INR,.. >= 7 years,4,male : single
1,0 <= ... < 10000 INR,18,existing credits paid back duly till now,radio/television,96200,unknown/ no savings account,... < 1 year ,4,female : divorced/separated/married
0,< 0 INR,12,critical account/ other credits existing (not at this bank),car (new),106050,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,< 0 INR,12,existing credits paid back duly till now,domestic appliances,35050,... < 5000 INR,1 <= ... < 4 years,4,male : married/widowed
1,0 <= ... < 10000 INR,12,existing credits paid back duly till now,education,31950,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,0 <= ... < 10000 INR,12,critical account/ other credits existing (not at this bank),car (used),93000,... < 5000 INR,unemployed,4,male : single
1,< 0 INR,12,critical account/ other credits existing (not at this bank),car (new),174950,... < 5000 INR,1 <= ... < 4 years,3,female : divorced/separated/married
0,0 <= ... < 10000 INR,48,existing credits paid back duly till now,car (new),424350,unknown/ no savings account,4 <= ... < 7 years,1,female : divorced/separated/married
1,< 0 INR,36,delay in paying off in the past,(vacation - does not exist?),344350,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,15,existing credits paid back duly till now,radio/television,135400,... < 5000 INR,... < 1 year ,2,male : single
0,no checking account,18,existing credits paid back duly till now,radio/television,99200,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,60,existing credits paid back duly till now,domestic appliances,507200,5000 <= ... < 25000 INR,4 <= ... < 7 years,2,female : divorced/separated/married
0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,62000,unknown/ no savings account,.. >= 7 years,4,female : divorced/separated/married
0,no checking account,27,delay in paying off in the past,car (used),430650,.. >= 50000 INR ,1 <= ... < 4 years,2,male : single
1,0 <= ... < 10000 INR,12,existing credits paid back duly till now,domestic appliances,38300,25000 <= ... < 50000 INR ,1 <= ... < 4 years,4,male : single
0,0 <= ... < 10000 INR,15,critical account/ other credits existing (not at this bank),domestic appliances,136400,unknown/ no savings account,4 <= ... < 7 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,12,existing credits paid back duly till now,domestic appliances,94050,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,>= 10000 INR / salary assignments for at least 1 year,6,existing credits paid back duly till now,car (new),35450,.. >= 50000 INR ,... < 1 year ,2,male : married/widowed
0,0 <= ... < 10000 INR,36,existing credits paid back duly till now,domestic appliances,239750,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,< 0 INR,27,existing credits paid back duly till now,domestic appliances,170800,... < 5000 INR,1 <= ... < 4 years,3,male : single
1,< 0 INR,18,existing credits paid back duly till now,radio/television,123100,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,no checking account,21,critical account/ other credits existing (not at this bank),radio/television,114400,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,48,all credits at this bank paid back duly,business,178300,5000 <= ... < 25000 INR,4 <= ... < 7 years,4,male : single
0,< 0 INR,6,critical account/ other credits existing (not at this bank),car (new),43000,... < 5000 INR,.. >= 7 years,1,female : divorced/separated/married
0,no checking account,12,critical account/ other credits existing (not at this bank),car (new),34100,5000 <= ... < 25000 INR,4 <= ... < 7 years,4,female : divorced/separated/married
0,< 0 INR,36,critical account/ other credits existing (not at this bank),radio/television,268550,... < 5000 INR,1 <= ... < 4 years,3,male : single
0,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,79100,.. >= 50000 INR ,.. >= 7 years,4,male : single
0,no checking account,6,existing credits paid back duly till now,domestic appliances,67300,5000 <= ... < 25000 INR,.. >= 7 years,2,male : single
0,no checking account,10,existing credits paid back duly till now,domestic appliances,96200,... < 5000 INR,1 <= ... < 4 years,1,male : single
0,>= 10000 INR / salary assignments for at least 1 year,36,existing credits paid back duly till now,domestic appliances,292400,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,0 <= ... < 10000 INR,24,critical account/ other credits existing (not at this bank),car (used),387900,.. >= 50000 INR ,.. >= 7 years,2,female : divorced/separated/married
0,0 <= ... < 10000 INR,24,delay in paying off in the past,business,348350,5000 <= ... < 25000 INR,4 <= ... < 7 years,4,male : single
1,< 0 INR,12,existing credits paid back duly till now,radio/television,64100,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,< 0 INR,9,critical account/ other credits existing (not at this bank),education,64400,5000 <= ... < 25000 INR,.. >= 7 years,3,male : single
0,< 0 INR,12,all credits at this bank paid back duly,retraining,16950,... < 5000 INR,.. >= 7 years,4,male : married/widowed
0,0 <= ... < 10000 INR,24,existing credits paid back duly till now,car (new),175600,5000 <= ... < 25000 INR,4 <= ... < 7 years,2,male : single
0,no checking account,6,critical account/ other credits existing (not at this bank),domestic appliances,94900,unknown/ no savings account,1 <= ... < 4 years,1,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,143600,5000 <= ... < 25000 INR,.. >= 7 years,3,male : single
0,no checking account,18,critical account/ other credits existing (not at this bank),car (new),52750,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,no checking account,15,existing credits paid back duly till now,repairs,63100,25000 <= ... < 50000 INR ,4 <= ... < 7 years,4,male : single
0,0 <= ... < 10000 INR,10,existing credits paid back duly till now,car (new),365400,... < 5000 INR,unemployed,2,male : single
0,no checking account,36,existing credits paid back duly till now,car (new),45450,25000 <= ... < 50000 INR ,.. >= 7 years,4,male : single
0,no checking account,6,existing credits paid back duly till now,radio/television,148900,25000 <= ... < 50000 INR ,1 <= ... < 4 years,1,male : single
1,< 0 INR,18,existing credits paid back duly till now,radio/television,56550,... < 5000 INR,unemployed,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,11,existing credits paid back duly till now,radio/television,78850,.. >= 50000 INR ,... < 1 year ,4,female : divorced/separated/married
0,no checking account,24,existing credits paid back duly till now,radio/television,198600,... < 5000 INR,4 <= ... < 7 years,2,female : divorced/separated/married
1,0 <= ... < 10000 INR,24,critical account/ other credits existing (not at this bank),business,96750,... < 5000 INR,.. >= 7 years,4,male : divorced/separated
1,< 0 INR,15,no credits taken/ all credits paid back duly,car (new),47500,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,12,existing credits paid back duly till now,radio/television,38150,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
1,0 <= ... < 10000 INR,24,delay in paying off in the past,radio/television,103200,... < 5000 INR,unemployed,3,female : divorced/separated/married
0,0 <= ... < 10000 INR,8,existing credits paid back duly till now,domestic appliances,70700,... < 5000 INR,1 <= ... < 4 years,4,male : single
1,< 0 INR,21,delay in paying off in the past,(vacation - does not exist?),170700,... < 5000 INR,... < 1 year ,2,male : single
1,no checking account,30,all credits at this bank paid back duly,car (used),374250,unknown/ no savings account,unemployed,4,female : divorced/separated/married
0,< 0 INR,12,existing credits paid back duly till now,radio/television,128850,... < 5000 INR,1 <= ... < 4 years,2,male : divorced/separated
0,< 0 INR,6,critical account/ other credits existing (not at this bank),domestic appliances,16900,25000 <= ... < 50000 INR ,.. >= 7 years,4,male : single
0,no checking account,12,existing credits paid back duly till now,domestic appliances,98150,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,< 0 INR,21,critical account/ other credits existing (not at this bank),car (new),28550,... < 5000 INR,.. >= 7 years,4,male : single
1,no checking account,36,delay in paying off in the past,business,478600,... < 5000 INR,... < 1 year ,1,male : divorced/separated
1,0 <= ... < 10000 INR,36,delay in paying off in the past,business,222750,... < 5000 INR,1 <= ... < 4 years,2,male : divorced/separated
1,< 0 INR,21,all credits at this bank paid back duly,car (new),82350,unknown/ no savings account,1 <= ... < 4 years,4,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,188850,.. >= 50000 INR ,1 <= ... < 4 years,4,male : single
1,0 <= ... < 10000 INR,18,critical account/ other credits existing (not at this bank),car (new),44200,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,15,critical account/ other credits existing (not at this bank),domestic appliances,68000,... < 5000 INR,1 <= ... < 4 years,4,male : single
1,0 <= ... < 10000 INR,9,all credits at this bank paid back duly,car (used),256450,... < 5000 INR,.. >= 7 years,2,female : divorced/separated/married
0,0 <= ... < 10000 INR,16,critical account/ other credits existing (not at this bank),car (new),58750,... < 5000 INR,unemployed,2,male : single
1,< 0 INR,12,existing credits paid back duly till now,domestic appliances,33700,5000 <= ... < 25000 INR,4 <= ... < 7 years,4,male : married/widowed
0,0 <= ... < 10000 INR,18,no credits taken/ all credits paid back duly,radio/television,162200,... < 5000 INR,1 <= ... < 4 years,1,female : divorced/separated/married
1,no checking account,24,existing credits paid back duly till now,business,229550,.. >= 50000 INR ,1 <= ... < 4 years,2,male : single
1,0 <= ... < 10000 INR,48,no credits taken/ all credits paid back duly,business,192200,5000 <= ... < 25000 INR,4 <= ... < 7 years,4,male : single
1,0 <= ... < 10000 INR,27,existing credits paid back duly till now,business,195750,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,6,existing credits paid back duly till now,domestic appliances,105400,... < 5000 INR,4 <= ... < 7 years,2,male : married/widowed
1,0 <= ... < 10000 INR,45,existing credits paid back duly till now,domestic appliances,151550,5000 <= ... < 25000 INR,1 <= ... < 4 years,4,male : single
1,0 <= ... < 10000 INR,9,critical account/ other credits existing (not at this bank),(vacation - does not exist?),75050,... < 5000 INR,.. >= 7 years,2,female : divorced/separated/married
0,no checking account,6,critical account/ other credits existing (not at this bank),domestic appliances,69100,... < 5000 INR,1 <= ... < 4 years,1,female : divorced/separated/married
1,0 <= ... < 10000 INR,12,existing credits paid back duly till now,radio/television,47550,5000 <= ... < 25000 INR,... < 1 year ,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,24,existing credits paid back duly till now,car (used),138000,unknown/ no savings account,.. >= 7 years,4,male : single
1,0 <= ... < 10000 INR,18,delay in paying off in the past,radio/television,214850,... < 5000 INR,.. >= 7 years,4,male : divorced/separated
0,no checking account,9,critical account/ other credits existing (not at this bank),(vacation - does not exist?),46800,25000 <= ... < 50000 INR ,.. >= 7 years,4,male : single
0,< 0 INR,12,existing credits paid back duly till now,car (new),58400,... < 5000 INR,1 <= ... < 4 years,4,male : married/widowed
0,no checking account,27,delay in paying off in the past,business,255850,... < 5000 INR,4 <= ... < 7 years,3,male : single
1,< 0 INR,12,existing credits paid back duly till now,retraining,45100,... < 5000 INR,4 <= ... < 7 years,4,male : married/widowed
0,no checking account,12,critical account/ other credits existing (not at this bank),car (new),74750,... < 5000 INR,.. >= 7 years,4,male : single
0,< 0 INR,30,critical account/ other credits existing (not at this bank),car (used),531150,... < 5000 INR,.. >= 7 years,3,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,96750,... < 5000 INR,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,12,critical account/ other credits existing (not at this bank),repairs,71200,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,< 0 INR,24,existing credits paid back duly till now,business,328400,... < 5000 INR,1 <= ... < 4 years,2,male : married/widowed
0,no checking account,12,existing credits paid back duly till now,car (used),70650,.. >= 50000 INR ,4 <= ... < 7 years,3,male : single
0,no checking account,9,critical account/ other credits existing (not at this bank),domestic appliances,153700,unknown/ no savings account,1 <= ... < 4 years,1,male : single
0,no checking account,36,existing credits paid back duly till now,domestic appliances,191750,unknown/ no savings account,.. >= 7 years,2,female : divorced/separated/married
1,< 0 INR,27,no credits taken/ all credits paid back duly,business,264650,... < 5000 INR,unemployed,2,male : single
1,>= 10000 INR / salary assignments for at least 1 year,30,delay in paying off in the past,business,95400,... < 5000 INR,.. >= 7 years,4,male : single
